method,lambda,seed,auc,acc,f1,dp_gap,eo_gap,eopp_gap,ev,mmd_alpha,linsep_alpha,nonlinsep_alpha,dp_alpha
FairPCA_AA,3.0,2,0.5489274770173647,0.558,0.2078853046594982,0.1326703036740211,0.1470528496567413,0.013333333333333308,0.2020547270276285,0.013757234735315316,0.4971014492753623,0.4825013419216318,0.0184179497767361
FairPCA_AA,10.0,2,0.5463738508682329,0.554,0.21201413427561838,0.11535428635800382,0.13248974286062482,0.026666666666666727,0.20434231820734805,0.013612334093139111,0.49608158883521203,0.481105743424584,0.017607638247475924
FairPCA_AA,30.0,2,0.5457201225740552,0.56,0.21428571428571427,0.10420187000112652,0.11993744160539466,0.026666666666666727,0.20427205620016897,0.01365231544141815,0.49753086419753084,0.4734836285560924,0.01757209857143795
FairPCA_AA,100.0,2,0.54535240040858,0.558,0.21352313167259787,0.10791934212008558,0.12412154202380471,0.026666666666666727,0.20500264250330458,0.013655683353150594,0.4989801395598497,0.4774557165861514,0.017548804345989752
Raw,,3,0.5608171603677222,0.584,0.2,0.029852427621944344,0.1333333333333333,0.1333333333333333,,,,,
AA,,3,0.5147701736465782,0.59,0.14937759336099585,0.063824651185246,0.08666666666666661,0.08666666666666661,0.23263299743827703,0.00968681955383588,0.49554482018250134,0.48679549114331727,0.013934813801482962
FairAA,0.0,3,0.5147701736465782,0.59,0.14937759336099585,0.063824651185246,0.08666666666666661,0.08666666666666661,0.23263302413751952,0.009686689349331423,0.49554482018250134,0.48679549114331727,0.013934735694875078
FairAA,0.03,3,0.5150153217568948,0.59,0.14937759336099585,0.063824651185246,0.08666666666666661,0.08666666666666661,0.23263509795389703,0.009631033633907049,0.49554482018250134,0.49280730005367684,0.013874727629917094
FairAA,0.1,3,0.5147701736465782,0.59,0.14937759336099585,0.063824651185246,0.08666666666666661,0.08666666666666661,0.2326345262679167,0.00919331862954742,0.4920021470746108,0.4967257112184648,0.013381286587895188
FairAA,0.3,3,0.5138712972420838,0.592,0.15,0.060107179066286875,0.08666666666666661,0.08666666666666661,0.23262604858040903,0.006828255414097428,0.4879763821792807,0.47396672034353193,0.010291446272921249
FairAA,1.0,3,0.5127681307456589,0.592,0.15,0.044014226170359994,0.08666666666666661,0.08666666666666661,0.23259397330643827,0.0038223863114912326,0.4948470209339774,0.4867418142780462,0.0035180740171121424
FairAA,3.0,3,0.4884167517875383,0.586,0.16194331983805668,0.05394357810714684,0.05985700938375921,0.006666666666666654,0.2324395604519467,0.0034463585815879827,0.4917337627482555,0.5284487385936661,0.0006138779130554691
FairAA,10.0,3,0.5003472931562819,0.48,0.17721518987341772,0.10124076666827603,0.10720233984644756,0.053333333333333344,0.10885749601942507,0.010117837703985888,0.509339774557166,0.5107353730542137,0.015147676112492093
FairAA,30.0,3,0.5003472931562819,0.48,0.17721518987341772,0.10124076666827603,0.10720233984644756,0.053333333333333344,0.10885749601942507,0.010117837703985888,0.509339774557166,0.5107353730542137,0.015147676112492093
FairAA,100.0,3,0.5003472931562819,0.48,0.17721518987341772,0.10124076666827603,0.10720233984644756,0.053333333333333344,0.10885749601942507,0.010117837703985888,0.509339774557166,0.5107353730542137,0.015147676112492093
FairAA_3Moment,0.0,3,0.5147701736465782,0.59,0.14937759336099585,0.063824651185246,0.08666666666666661,0.08666666666666661,0.23263302863569735,0.009686680089580124,0.49554482018250134,0.48679549114331727,0.013934736636449686
FairAA_3Moment,0.03,3,0.5125229826353422,0.592,0.15,0.05206070261832341,0.08666666666666661,0.08666666666666661,0.23260430389882314,0.005746547953252634,0.47987117552334946,0.4828234031132582,0.008775985567479288
